V1	V2	V3	V4
D20	FQ-10	796	0.0546482412060302
D20	FQ-14	556	0.0611510791366906
D20	FQ-26	1011	0.0534124629080119
D20	FQ-27	940	0.0478723404255319
D20	FQ-6	903	0.0553709856035437
D20	26	1281	0.0569867291178767
D20	27	1258	0.0687599364069952
D20	28	1513	0.0644415069398546
D20	31	1555	0.0694533762057878
D20	CX-29	1473	0.0644942294636796
D20	DF-5	840	0.0613095238095238
D20	DFDC-11	1571	0.0671546785486951
D20	DFDC-13	1452	0.0692148760330579
D20	DFDC-14	1507	0.0743198407431984
D20	DFDC-19	1538	0.0669700910273082
D20	Q-14	1312	0.071265243902439
D20	Q-19	1223	0.0633687653311529
D20	Q-20	780	0.0544871794871795
D20	Q-30	1433	0.0666434054431263
D20	Q-6	1445	0.0664359861591696
D20	H-22	114	0.043859649122807
D20	H-25	157	0.054140127388535
D20	H-26	118	0.0508474576271186
D20	HDC-3	139	0.0323741007194245
D20	HDC-4	146	0.0479452054794521
D20	HM2	352	0.164772727272727
D20	HM3	382	0.159685863874346
D20	HM4	325	0.150769230769231
D20	HM5	584	0.163527397260274
D20	HM6	596	0.170302013422819
D22	JJ0030	11627	0.0870817923798056
D22	JJC44	11721	0.0819042743793192
D22	108	9421	0.0711177157414287
D22	JJ-109	9515	0.0719390436153442
D22	JJ-35	8877	0.068660583530472
D22	JJ-71	10405	0.0736665064872657
D22	JJ-92	5484	0.0605397520058352
D22	JJ-103	11277	0.0796754455972333
D22	JJ-52	11426	0.0799054787327149
D22	JJ-97	11493	0.0798747063429914
D22	JJC-73	10914	0.0783397471137988
D22	117	3694	0.0527883053600433
D22	LCG09-2	3062	0.0512736773350751
D22	LCG09-3	3196	0.0502190237797247
D22	LCG09-4	3124	0.0532970550576184
D22	LCG09-5	3053	0.054208974778906
D22	XH-13	8580	0.0702214452214452
D22	XHDC-2	9037	0.0687174947438309
D22	XHDC-5	4855	0.0649845520082389
D22	XHDC-6	7309	0.0624572444930907
D22	XHDC-7	8246	0.0653043900072763
D22	FQ-10	4294	0.0550768514205869
D22	FQ-14	2976	0.0611559139784946
D22	FQ-26	5843	0.0610131781619031
D22	FQ-27	5309	0.0582030514221134
D22	FQ-6	5169	0.0610369510543625
